pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2025-11-28,2025-12-01,test,2,0.8241,0.43655,0.15,0.28655,4382.69,533849.03,1533849.03
2025-12-01,2025-12-02,test,2,0.858517,1.1551,0.15,1.0051,15416.72,549265.74,1549265.74
2025-12-02,2025-12-03,test,1,0.913966,0.1974,0.15,0.0474,734.35,550000.09,1550000.09
2025-12-03,2025-12-04,test,3,0.849916,0.5206,0.15,0.3706,5744.3,555744.39,1555744.39
2025-12-04,2025-12-05,test,2,0.875325,-0.2205,0.15,-0.3705,-5764.03,549980.36,1549980.36
2025-12-05,2025-12-08,test,1,0.871193,-0.3704,0.15,-0.5204,-8066.1,541914.26,1541914.26
2025-12-08,2025-12-09,test,2,0.812919,0.0533,0.15,-0.0967,-1491.03,540423.23,1540423.23
2025-12-09,2025-12-10,test,6,0.843004,0.538633,0.15,0.388633,5986.6,546409.83,1546409.83
2025-12-10,2025-12-11,test,2,0.841313,0.1885,0.15,0.0385,595.37,547005.2,1547005.2
2025-12-11,2025-12-12,test,2,0.856903,0.29965,0.15,0.14965,2315.09,549320.29,1549320.29
2025-12-12,2025-12-15,test,2,0.853953,0.76025,0.15,0.61025,9454.73,558775.02,1558775.02
2025-12-15,2025-12-16,test,1,0.835186,0.3524,0.15,0.2024,3154.96,561929.98,1561929.98
2025-12-16,2025-12-17,test,1,0.850644,0.0,0.15,-0.15,-2342.89,559587.08,1559587.08
2025-12-17,2025-12-18,test,1,0.868221,0.3594,0.15,0.2094,3265.78,562852.86,1562852.86
2025-12-18,2025-12-19,test,1,0.895956,1.0619,0.15,0.9119,14251.66,577104.51,1577104.51
2025-12-19,2025-12-22,test,2,0.852025,1.19095,0.15,1.04095,16416.87,593521.38,1593521.38
2025-12-22,2025-12-23,test,2,0.833665,0.298,0.15,0.148,2358.41,595879.8,1595879.8
2025-12-23,2025-12-24,test,1,0.868123,0.0833,0.15,-0.0667,-1064.45,594815.34,1594815.34
2025-12-24,2025-12-26,test,0,0.0,0.0,0.0,0.0,0.0,594815.34,1594815.34
2025-12-26,2025-12-29,test,1,0.887274,0.335,0.15,0.185,2950.41,597765.75,1597765.75
